field_id,date,soil_moisture_vwc,soil_temp_c,organic_matter_pct,disease_incidence_pct
F02,2022-11-05,0.345,23.5,2.65,47.7
F07,2022-03-17,0.193,22.0,3.36,3.2
F06,2022-09-28,0.288,25.2,1.91,9.0
F02,2022-07-13,0.177,28.1,5.35,46.8
F03,2022-05-15,0.14,12.2,4.99,11.8
F07,2022-05-04,0.387,23.3,2.9,34.8
F02,2022-09-06,0.351,16.7,4.63,24.7
F05,2022-02-20,0.358,25.4,5.49,45.0
F02,2022-09-17,0.419,27.2,4.95,46.6
F12,2022-11-23,0.375,27.8,1.64,30.1
F08,2022-06-02,0.141,23.9,1.54,29.6
F08,2022-02-11,0.205,27.3,2.68,50.9
F02,2022-04-23,0.244,10.5,3.3,22.2
F02,2022-01-07,0.405,10.0,2.2,49.3
F04,2022-01-18,0.126,16.8,1.88,9.9
F10,2022-08-06,0.342,23.1,2.2,35.9
F12,2022-07-30,0.14,24.9,5.32,24.2
F09,2022-02-20,0.172,25.6,4.68,34.7
F10,2022-12-09,0.194,10.8,1.87,19.1
F06,2022-04-01,0.253,22.4,3.05,55.1
F12,2022-08-19,0.391,19.6,4.83,43.7
F01,2022-06-17,0.377,11.5,2.37,55.4
F12,2022-02-12,0.215,18.0,3.44,50.3
F04,2022-09-15,0.415,24.3,2.44,42.1
F03,2022-12-11,0.138,11.5,5.19,9.7
F03,2022-08-17,0.138,26.8,3.4,30.5
F02,2022-08-22,0.264,11.4,2.52,23.1
F06,2022-01-17,0.222,9.7,4.37,13.1
F05,2022-07-20,0.381,15.6,2.21,49.4
F04,2022-11-19,0.128,24.3,2.3,57.2
F10,2022-01-21,0.385,24.3,5.18,51.0
F08,2022-06-02,0.205,26.2,5.03,33.2
F12,2022-05-16,0.357,11.8,1.95,21.9
F06,2022-06-24,0.125,12.6,1.63,30.9
F05,2022-01-23,0.394,12.3,4.98,19.4
F11,2022-01-16,0.368,12.4,3.06,54.7
F04,2022-05-13,0.295,16.9,4.51,49.5
F07,2022-03-21,0.37,28.9,2.7,39.1
F02,2022-10-18,0.361,22.2,1.47,41.2
F05,2022-01-23,0.376,15.1,1.73,10.2
F11,2022-05-19,0.325,28.2,3.2,44.6
F08,2022-02-27,0.411,19.8,4.4,33.4
F12,2022-09-30,0.293,8.8,5.12,25.1
F08,2022-02-18,0.329,9.5,2.54,47.9
